mission	summary
M01	Complete three separate dockyard approaches without firing. Identify Mateo, copy the ledger, take the prototype, survive his escape and extract all three in the car.
M02	Chase the comms van in the Granger. Keep Gohan aboard and close enough to hack. At halfway the van crew fires back. Ice collects the drives at its rear doors, then everyone escapes in the Granger.
M03	Brief at the foundry in the arriving car or yard. Guess parks at the rail junction and steps out to seal it; the ambush activates after work begins. Ice clears the upper depot yard. Gohan loads grounded crates into the Benson. Guess returns to the actual truck; switch freely in the rescue fight, then deliver the Benson.
M04	Brief at the foundry using the arriving car or yard. Guess meets the crew at the Pillbox lot while Ice and Gohan approach separately. Gohan cuts the breaker. Ice covers the exchange without firing early. Guess pursues Miller in the Granger, stops him and collects his drive on foot. The bible synopsis has Gohan using Thermal Pulse to navigate the dark; that sight is Ice's now, and Gohan's Blackout is what puts the lights out, which is the same breaker beat from his own side. Switch to Ice to see through the garage.
M05	Ice clears shore support. Guess launches the flare, approaches Mateo and drives the chase. Gohan automatically disables the target engine after 24 seconds accumulated within 45m; separation pauses progress. Once the engine is disabled, Guess stops alongside the stopped target within 18m. Only then switch to Gohan to take Mateo aboard and question him alive.
M06	Gohan cuts the feeder, Ice enters the alley and holds it while Gohan burns the racks. The thermite work marker is shown only for its worker, not as an extra destination for Ice. Later SWAT waves rappel and approach both alley mouths on foot; saved convoy entry/stop pairs become bounded foot approach points. Guess waits until the siege ends, collects both brothers in the Granger, and all three can switch during the escape.
M07	The relay, the roof and the pickup lane are seen first. Ice reaches a physical satellite dish and animates fitting a visible sniffer; the manifests are read over it (two turbine engines, Paleto) and recorded as a copy held. The helicopter is shown coming, then Ice collects the walk-over parachute, descends and boards a rear seat in Guess's unlocked pickup.
M08	Gohan loops the exterior security cabinet in Elysian Island. Ice clears the sentries; inactive brothers return fire when the fight starts. Guess drives the forklift under each crate, pauses to pick it up, then drives the visual collision-free load to the rear of the nearby flatbed. Two stopped seconds secure and verify each crate; no loading cutscene or required chain animation removes player control. The first delivered crate triggers the technical and a radio warning. Either finish the second delivery or destroy the technical first. The seven-minute camera loop remains a deadline. Ice boards the flatbed, Gohan follows in the Granger, and both crates reach the stash for M10.
M09	Guess takes off and shadows the convoy. Ice takes over for the escort driver shot; the trucks continue through the ambush. Near the escort, Ice receives one 0.3-speed aiming window lasting 4.5 game seconds (about 15 real seconds). Normal time returns after the window, shot, switch or abort, including with the character wheel open. Keep the escort intact. Ice takes its IFF unit; the visual prop is pocketed after the read. Guess lands the Frogger at the pickup and holds it on the ground. Ice uses the passenger door or the context boarding prompt. Deliver the unit with Ice aboard.
M10	At the connector stash, reuse the loaded unoccupied M08 flatbed if it is still there, otherwise rebuild the truck and two collision-free crates on settled wheels. Guess drives with Ice in the passenger seat. Cartel bikes spawn on nearby road nodes at the truck level, seat their riders before pursuit tasks and refresh the chase. The Buzzard starts above the terrain with its engine, rotors and seated pilot ready before receiving an attack task. Missing essential pursuit assets fail with a retry message. At the tunnel mouth Ice fights the gunship; deliver the engines to Burro Heights after losing police.
